team_id,season,Away,Home,diff
IND,2016,0.571428571428571,0.375,-0.196428571428571
IND,2017,0.375,0.625,0.25
IND,2018,0.625,0.375,-0.25
IND,2019,0.375,0.5,0.125
JAX,2000,0.5,0.375,-0.125
JAX,2001,0.5,0.375,-0.125
JAX,2002,0.375,0.625,0.25
JAX,2003,0.375,0.5,0.125
JAX,2004,0.625,0.625,0
JAX,2005,0.75,0.375,-0.375
JAX,2006,0.25,0.75,0.5
JAX,2007,0.75,0.625,-0.125
JAX,2008,0.375,0.125,-0.25
JAX,2009,0.375,0.25,-0.125
JAX,2010,0.5,0.625,0.125
JAX,2011,0.375,0.5,0.125
JAX,2012,0.625,0.25,-0.375
JAX,2013,0.5,0.142857142857143,-0.357142857142857
JAX,2014,0.375,0.428571428571429,0.0535714285714286
JAX,2015,0.375,0.428571428571429,0.0535714285714286
JAX,2016,0.625,0.142857142857143,-0.482142857142857
JAX,2017,0.5,0.571428571428571,0.0714285714285714
JAX,2018,0.25,0.428571428571429,0.178571428571429
JAX,2019,0.5,0.428571428571429,-0.0714285714285715
KC,2000,0.375,0.5,0.125
KC,2001,0.625,0.25,-0.375
KC,2002,0.625,0.625,0
KC,2003,0.5,0.75,0.25
KC,2004,0.375,0.375,0
KC,2005,0.375,0.75,0.375
KC,2006,0.375,0.625,0.25
